tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-2a_LP-DIR-T-37	SS20-2a_LP-DIR-T	SS20-2a	1.6	249.3	19.7	0	0	0.0	0.0	15	813.0	This study	hargrave 2016-03-28 19:00:49	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.109	2.06e-08	7.28e-09	4.45e-09	2.81e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-38	SS20-2a_LP-DIR-T	SS20-2a	1.5	243.6	16.3	0	0	0.0	0.0	16	823.0	This study	hargrave 2016-03-29 16:03:41	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.109	1.53e-08	2.64e-09	3.47e-09	3.96e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-39	SS20-2a_LP-DIR-T	SS20-2a	2.7	254.3	19.7	0	0	0.0	0.0	17	833.0	This study	hargrave 2016-03-30 13:20:19	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.109	1.05e-08	3.72e-09	1.59e-09	5.56e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-40	SS20-2a_LP-DIR-T	SS20-2a	9.8	215.5	43.8	0	0	0.0	0.0	18	843.0	This study	hargrave 2016-04-04 14:57:23	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.109	3.2e-09	1.91e-09	5.81e-09	3.53e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-41	SS20-2a_LP-DIR-T	SS20-2a	2.5	225.8	34.9	0	0	0.0	0.0	19	843.0	This study	hargrave 2016-04-04 16:17:25	LT-T-Z:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.109	3e-09	1.4e-09	7.48e-10	1.17e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-42	SS20-2a_LP-DIR-T	SS20-2a	19.8	14.3	-16.0	0	0	0.0	0.0	20	848.0	This study	hargrave 2016-04-05 12:20:54	LT-T-Z:LP-DIR-T	b	42	u	8	273			pmagpy-4.2.109	1.87e-09	1.88e-09	8.3e-09	1.68e-09	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-43	SS20-2a_LP-DIR-T	SS20-2a	8.1	304.4	8.1	0	0	0.0	0.0	21	853.0	This study	hargrave 2016-04-05 19:58:52	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.109	4.27e-09	1.61e-09	6.28e-09	5.85e-09	SS20-2	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-44	SS20-3a_LP-DIR-T	SS20-3a	2.0	296.9	76.0	0	0	0.0	0.0	0	273.0	This study	hargrave 2016-02-18 11:30:02	LT-NO:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.109	3.89e-07	1.7e-07	9.09e-08	4.92e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-45	SS20-3a_LP-DIR-T	SS20-3a	1.6	328.7	61.8	0	0	0.0	0.0	1	77.0	This study	hargrave 2016-02-21 12:31:29	LT-LT-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.109	3.17e-07	1.01e-07	6.87e-08	5.23e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-46	SS20-3a_LP-DIR-T	SS20-3a	2.4	328.6	57.7	0	0	0.0	0.0	2	373.0	This study	hargrave 2016-02-22 19:48:24	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.109	2.87e-07	1.13e-07	1.27e-07	4.4e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-47	SS20-3a_LP-DIR-T	SS20-3a	2.0	330.2	44.5	0	0	0.0	0.0	3	473.0	This study	hargrave 2016-02-23 19:35:44	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.109	2.28e-07	5.47e-08	1e-07	2.28e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-48	SS20-3a_LP-DIR-T	SS20-3a	1.4	327.8	41.6	0	0	0.0	0.0	4	573.0	This study	hargrave 2016-02-27 17:44:46	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.109	2.08e-07	3.05e-08	6.74e-08	1.97e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-49	SS20-3a_LP-DIR-T	SS20-3a	1.7	326.1	39.0	0	0	0.0	0.0	5	598.0	This study	hargrave 2016-02-29 19:14:06	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.109	2.03e-07	5.69e-08	5.91e-08	2.58e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-50	SS20-3a_LP-DIR-T	SS20-3a	1.5	327.0	38.6	0	0	0.0	0.0	6	623.0	This study	hargrave 2016-03-01 17:43:28	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.109	1.93e-07	3.13e-08	6.72e-08	1.95e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-51	SS20-3a_LP-DIR-T	SS20-3a	1.9	326.7	37.2	0	0	0.0	0.0	7	648.0	This study	hargrave 2016-03-07 17:38:43	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.109	1.92e-07	5.76e-08	7.1e-08	2.41e-08	SS20-3	SS20	Michipicoten Island
